num_cpf_cnpj;des_nome_associado;dat_associacao;cod_faixa_renda;des_faixa_renda
584890281374;CAROLINA FERRÓN;27/12/2018;2;MÉDIA
507366228964;COLLIN BALSEMÃO;12/12/2018;2;MÉDIA
663988313885;AMADEU BRANDÃO;05/12/2018;5;ALTA
653411939252;CAIO REGUERA;27/03/2019;2;MÉDIA
270908897076;LUANA CARDOZO;13/12/2018;3;MÉDIA ALTA
475770316700;FILINTO COITO;18/12/2018;3;MÉDIA ALTA
533657563587;AMÉLIA IGLESIAS;13/12/2018;2;MÉDIA
902188823354;MAGALI IGNACIO;26/11/2018;2;MÉDIA
851428470824;LEANDRO EANES;13/12/2018;1;BAIXA
350087028831;JULIETA PADILLA;27/11/2018;2;MÉDIA
77402299113;TOBIAS CARMONA;25/11/2018;2;MÉDIA
130911553772;JERÓNIMO, JERÔNIMO HOLANDA;10/12/2018;2;MÉDIA
556114862652;LINO FERRAZ;26/12/2018;2;MÉDIA
436135179032;TÁLIA ANDRADE;29/12/2018;3;MÉDIA ALTA
177919269646;EMÍLIA CORREA;24/12/2018;2;MÉDIA
731959689461;MIRIAM LIBERATO;16/12/2018;2;MÉDIA
486231185651;IVA CORTE-REAL;25/12/2018;2;MÉDIA
28248281208;FAUSTINO MORERA;22/12/2018;2;MÉDIA
435221270977;HERNÂNI VILANOVA;25/11/2018;2;MÉDIA
917100361826;ONDINA LOUSÃ;05/03/2019;2;MÉDIA
547976863994;MANUEL QUIRINO;17/12/2018;2;MÉDIA
781351430176;CORINA THOMÉ;05/12/2018;2;MÉDIA
619574271739;ESTELA PEIXOTO;09/01/2019;1;BAIXA
23409006760;CAUÃ FONTOURA;16/01/2019;2;MÉDIA
462260668192;LÉIA FIALHO;10/11/2018;2;MÉDIA
972255802096;LUCRÉCIA AMADO;08/02/2019;1;BAIXA
838158049682;GERSON OLAIO;11/01/2019;1;BAIXA
873186841800;FÁTIMA BENEVIDES;04/12/2018;2;MÉDIA
811071765628;CLAUDEMIRA BRITES;13/12/2018;2;MÉDIA
56841977730;ISABEL VALLADARES;03/12/2018;3;MÉDIA ALTA
844736147031;MADALENA MENNA;16/12/2018;3;MÉDIA ALTA
736156096495;ANGÉLICA RIJO;06/12/2018;3;MÉDIA ALTA
130026642316;EDITE GINJEIRA;09/01/2019;1;BAIXA
774724913912;BOAVENTURA HENRIQUES;04/12/2018;1;BAIXA
589434277566;ANACLETO TÉVEZ;30/11/2018;2;MÉDIA
786846707144;DEISE BECERRA;13/02/2019;1;BAIXA
623366916705;LINO MATOSO;31/01/2019;2;MÉDIA
424017679262;ASTOLFO SEQUERA;02/12/2018;1;BAIXA
614762168976;SALOMÃO MUÑIZ;29/12/2018;1;BAIXA
708488936962;IRACI RAMINHOS;20/12/2018;3;MÉDIA ALTA
110284744486;ÓSCAR INÁCIO;14/12/2018;1;BAIXA
903952180515;DAVIDE MARINS;08/01/2019;1;BAIXA
949239435165;CÁSSIA MONTEIRO;22/11/2018;1;BAIXA
970976143348;HERCULANO GARRIDO;22/12/2018;2;MÉDIA
452835825490;CRISTINA NEGREIROS;18/03/2019;2;MÉDIA
721805475549;ROSAURA SEMEDO;13/12/2018;3;MÉDIA ALTA
267575348531;MIRU RIBAS;02/05/2019;1;BAIXA
453603310739;SOCORRO MONTENEGRO;18/11/2018;1;BAIXA
269146067289;CLÁUDIO JAVIER;24/12/2018;2;MÉDIA
44680203456;HÉLDER PÊCEGO;27/12/2018;2;MÉDIA
324190386634;EMA ALCANTARA;05/12/2018;1;BAIXA
842887481729;QUINTILIANA HORTA;16/11/2018;3;MÉDIA ALTA
33264467966;JACIR PEÇANHA;21/12/2018;2;MÉDIA
321310843567;IBERÊ CABREIRA;31/12/2018;2;MÉDIA
888808400486;ADÉLIO PADILHA;27/12/2018;2;MÉDIA
397103782377;NOÉ MODESTO;07/01/2019;2;MÉDIA
45262434605;JOEL BRITES;26/01/2019;2;MÉDIA
873332690726;LURDES MÉNDEZ;05/01/2019;1;BAIXA
754858696670;QUINTINO ALANCASTRO;13/12/2018;2;MÉDIA
156671646484;SERAFIM VAZ;07/03/2019;1;BAIXA
542125515599;ÁGATA RÍOS;28/12/2018;1;BAIXA
662203723997;HÉLIO LEÃO;13/09/2019;2;MÉDIA
432253220361;MAURÍCIO VALENTIM;13/12/2018;3;MÉDIA ALTA
524029581157;BRÁS COELHO;03/01/2019;1;BAIXA
885821831143;SEBASTIÃO GALVÃO;21/01/2019;1;BAIXA
584446332974;ROSALINA RESENDE;12/12/2018;2;MÉDIA
267435491001;ROSALINA GINJEIRA;07/12/2018;2;MÉDIA
789636148687;MINERVINA CAIAPÓ;13/03/2019;1;BAIXA
226774898261;GLÓRIA HOLLANDA;12/12/2018;2;MÉDIA
845839476038;FRANCISCO CABREIRA;19/12/2018;2;MÉDIA
284180286979;MAMEDE PEDERNEIRAS;08/12/2018;1;BAIXA
898143601045;CLEUSA CACHOEIRA;10/12/2018;3;MÉDIA ALTA
930109302247;BUKAKE BICALHO;02/12/2018;1;BAIXA
816161389695;ALVITO COIMBRA;29/12/2018;2;MÉDIA
592531245977;CLARINDO CAIADO;05/12/2018;3;MÉDIA ALTA
291022678048;OSCAR GARRAU;03/12/2018;2;MÉDIA
30643360774;DELFINA DOMÍNGUEZ;10/01/2019;2;MÉDIA
697365804809;SÉRGIO FERRAZ;14/01/2019;4;ALTA
255189845121;ALCESTE AROUCA;05/01/2019;1;BAIXA
198011538727;AIDA PACHECO;03/02/2019;1;BAIXA
180474269687;LUCÍLIA ALMEYDA;27/01/2019;2;MÉDIA
21824697851;CARINE TAVEIRA;05/02/2019;2;MÉDIA
968427265685;GERTRUDES MASCARENHAS;13/06/2019;1;BAIXA
929057698602;AMADEU CAYADO;04/12/2018;3;MÉDIA ALTA
359647267446;GABRIEL LOUZADA;06/12/2018;1;BAIXA
685221771588;MARÍLIA LAGE;29/12/2018;3;MÉDIA ALTA
321242418500;SOEIRO SOUTO;09/12/2018;1;BAIXA
199539317320;APOENA MARTINS;18/02/2019;2;MÉDIA
814878020990;ALCESTE MANSILHA;13/12/2018;5;ALTA
905118779976;QUINTILIEN SABALA;16/12/2018;1;BAIXA
54366486668;CAMILA BAUTISTA;15/11/2018;2;MÉDIA
483071387011;RAONI COTEGIPE;12/12/2018;1;BAIXA
718419065181;LILIANA VAREJÃO;29/01/2019;1;BAIXA
62221867028;DEISE HIGUERA;02/01/2019;1;BAIXA
656226105961;ROSALINA SEABRA;23/11/2018;2;MÉDIA
554787434755;ÍTALA FIGUEIREDO;04/04/2019;2;MÉDIA
122586884926;HIPÓLITO BALDAIA;12/03/2019;1;BAIXA
226241838191;XÊNIA ROBALO;18/05/2019;1;BAIXA
499946255044;ANACLETO REBOCHO;04/01/2020;1;BAIXA
907989734338;ARARIBÓIA PRUDENTE;01/03/2019;2;MÉDIA
188666653704;SOEIRO REBIMBAS;20/12/2018;2;MÉDIA
452605201399;PARAGUAÇU BOTICA;06/04/2019;2;MÉDIA
710337375985;AARÃO GRANJA;23/06/2019;2;MÉDIA
915783967335;ANIANO SARAIVA;18/12/2018;2;MÉDIA
425142065204;RAFAELA SOARES;16/05/2019;1;BAIXA
259616844810;VALÉRIO SILVERA;26/12/2018;1;BAIXA
286731348942;EMANUELA SALAZAR;17/12/2018;2;MÉDIA
609262955617;ROMANO FRANCIA;26/02/2019;2;MÉDIA
02507391715;ANA LAMEIRINHAS;30/12/2018;2;MÉDIA
359478560193;GABRIEL FRANCIA;05/01/2019;2;MÉDIA
25718337858;AURÉLIA PATRÍCIO;08/01/2019;1;BAIXA
30004086836;TARRATACA CHÁVEZ;25/12/2018;1;BAIXA
638853762907;SERAFINA LINHARES;21/11/2018;2;MÉDIA
193417607441;HONÓRIO FUENTES;02/01/2019;3;MÉDIA ALTA
447021508655;CAMILO BLANCO;03/02/2019;2;MÉDIA
625441439432;NOÊMIA PÁEZ;08/01/2019;2;MÉDIA
299608694265;VIRIATO CUSTÓDIO;02/01/2019;1;BAIXA
669761641018;FILOMENA SANTANA;03/02/2019;1;BAIXA
665186175858;CAETANO ROSMANINHO;19/12/2018;1;BAIXA
485185843539;JUDÁ QUINTELA;27/11/2018;1;BAIXA
929833138219;VALENTINA ROSARIO;11/01/2019;2;MÉDIA
785181503622;PAULA MARINHO;31/03/2019;2;MÉDIA
230398548215;TERESINA BULHÕES;15/12/2019;1;BAIXA
815059351930;ANGELINA LIBERATO;31/01/2019;2;MÉDIA
696276236117;LUCIANO RUAS;16/12/2019;2;MÉDIA
161677524747;TERESINA CARVALHOSA;03/10/2019;1;BAIXA
108886617503;MANUEL FARTARIA;20/01/2019;2;MÉDIA
453023083787;JACINTO TOMÉ;04/09/2019;2;MÉDIA
824320283255;ÉLVIO MONIZ;25/01/2019;2;MÉDIA
374089851717;SÔNIA OU SONIA BICUDO;01/09/2019;2;MÉDIA
562696359419;IURI TEIXEIRA;22/02/2019;2;MÉDIA
761369893597;CLÁUDIO PRATES;02/02/2019;2;MÉDIA
944236600169;EDMUNDO ALDEA;17/04/2019;2;MÉDIA
420120242039;DÉLIA FARTARIA;21/03/2019;2;MÉDIA
994175872125;ALBINO MESQUITA;05/03/2019;1;BAIXA
326318387870;MAURO SOUTO MAIOR;13/04/2019;2;MÉDIA
507438459858;FABÍOLA QUEIRÓS;10/01/2019;2;MÉDIA
536600332290;SIDÓNIO BAIÃO;09/03/2019;2;MÉDIA
910081970331;ILÍDIO GALVÃO;22/05/2019;2;MÉDIA
771648168185;VÍTOR OU VICTOR SOTOMAYOR;27/07/2019;2;MÉDIA
721208168006;DENISE COVILHÃ;11/01/2019;2;MÉDIA
276589771893;RAIMUNDO SUÁREZ;09/12/2018;3;MÉDIA ALTA
19826643441;ALÍPIO CANEJO;09/01/2019;2;MÉDIA
87009887295;ESTER ZARCO;13/12/2018;2;MÉDIA
588210213076;UBALDO BETHANCOUT;02/03/2019;1;BAIXA
678210064051;ANTÓNIA CINTRA;28/11/2019;1;BAIXA
256899871435;CAPITOLINO PENTEADO;01/12/2018;2;MÉDIA
623065722381;CRISPIM DÍAZ;11/07/2019;2;MÉDIA
571465324078;CRISTÓVÃO TEMES;16/09/2019;2;MÉDIA
512766399194;SUSANA ARRUDA;30/06/2019;5;ALTA
226119120233;HENRIQUE FRANÇA;09/01/2019;2;MÉDIA
260708728642;LUIZE MARIZ;15/12/2018;1;BAIXA
474824396459;SÍLVIO PEIXOTO;01/03/2019;1;BAIXA
226676425051;CESÁRIO DOURADO;23/02/2019;2;MÉDIA
83719366704;NEUSA COUTINHO;13/05/2019;2;MÉDIA
630175370105;FLORIANO BELCHIORINHO;27/12/2018;2;MÉDIA
159131936071;SALOMÉ BOGALHO;24/02/2019;1;BAIXA
03105717060;TOMÁSIA VAREJÃO;09/12/2018;1;BAIXA
399411742342;ELIA CUNHA;27/12/2018;1;BAIXA
589248511285;FLÁVIO LOUREIRO;11/12/2018;3;MÉDIA ALTA
645273223384;GUEDA CIRNE;03/01/2019;1;BAIXA
76223230330;AURÉLIA SEABRA;06/02/2019;1;BAIXA
47309754961;SIQUENIQUE OLAIO;07/12/2018;1;BAIXA
24356165638;COSPERRANHO PEDROZO;27/01/2019;2;MÉDIA
606746923252;FÉLIX QUERINO;28/12/2018;1;BAIXA
611024799039;ANABELA FERREYRA;01/05/2019;2;MÉDIA
828247139538;MORGANA PIRAJÁ;27/11/2019;1;BAIXA
19275218707;ABRAÃO GRILLO;24/06/2019;1;BAIXA
181835908194;PORFÍRIO FIÃES;06/03/2019;2;MÉDIA
244528729785;LOURENÇO GRAÇA;23/01/2019;1;BAIXA
275460226489;GUIOMAR MIRANDELA;13/02/2019;1;BAIXA
220627923133;RUI DURÃO;22/03/2019;2;MÉDIA
414268996555;DANIELA BARREIRO;12/12/2019;2;MÉDIA
653453610200;NESTOR SACRAMENTO;20/04/2019;2;MÉDIA
164289572320;QUITÉRIA FREYRE;22/02/2019;2;MÉDIA
242807103883;BOAVENTURA FELIPE;13/07/2019;1;BAIXA
354783866227;TELO CURVELO;05/12/2018;2;MÉDIA
167398670695;ALARICO DINIZ;23/02/2019;2;MÉDIA
316619581618;XÊNIA BARATA;14/02/2019;1;BAIXA
308556167493;MBICY GUIMARÃES;11/06/2019;1;BAIXA
391987004082;ANIANO GIRÓN;30/03/2019;1;BAIXA
664055155875;SONÁS PENA;26/01/2019;1;BAIXA
359695434628;ESTEFÂNIA RICO;02/06/2019;2;MÉDIA
320505166790;CECÍLIA LEIRIA;21/02/2019;2;MÉDIA
242193560265;JÚLIA CHAMUSCA;06/03/2019;1;BAIXA
544357907590;DEOLINDA GOUVÊA;04/09/2019;2;MÉDIA
121107039717;GUILHERME GOULART;18/04/2019;2;MÉDIA
315670757970;ELIA VELASQUES;17/01/2019;2;MÉDIA
281745363276;GUARACI PEDROSO;27/12/2018;2;MÉDIA
841847773175;AURÉLIA SALVADO;13/02/2019;3;MÉDIA ALTA
498749047515;VANDERLEI GODINHO;23/12/2019;1;BAIXA
535600724003;INGRIT DANTAS;27/10/2019;1;BAIXA
05447547810;UDO FERREYRA;15/09/2019;2;MÉDIA
635328725809;ARMANDA VILLENA;14/12/2018;1;BAIXA
392671326353;ANTÓNIO VILLANUEVA;26/06/2019;2;MÉDIA
593459079521;BLASCO VEIGA;14/12/2019;1;BAIXA
436266849400;DAVID GÓIS;30/01/2019;2;MÉDIA
181237952567;FAUSTO VÁSQUEZ;08/05/2019;2;MÉDIA
451386705076;SORAIA BEIRIZ;15/01/2020;1;BAIXA
582940825590;ISABEL PARANAGUÁ;03/03/2019;1;BAIXA
99942720308;GINÉCULO AVEIRO;15/09/2019;1;BAIXA
944426017773;PATRÍCIO SANTIAGO;13/02/2019;2;MÉDIA
382833026730;DAMIÃO FREYRIA;23/12/2018;1;BAIXA
609363753200;ADÉRITO GARCÍA;17/02/2019;1;BAIXA
815320457290;JOEL FAGUNDES;11/12/2019;2;MÉDIA
878023764467;GUIDA DÍAZ;09/05/2019;2;MÉDIA
332772639069;LUCIANA MENESES;04/04/2019;1;BAIXA
950035761103;QUIRINO MARINS;12/02/2019;2;MÉDIA
67353641203;VANESSA CANEIRA;26/08/2019;2;MÉDIA
226975810978;TADEU SOUSA DE ARRONCHES;12/12/2018;1;BAIXA
752462309103;TELMA MONIZ;28/12/2019;3;MÉDIA ALTA
748779495193;XIMENO CLEMENTINO;25/05/2019;1;BAIXA
783034747696;EGAS MUNIZ;03/05/2019;1;BAIXA
720828133318;OLÍVIA CARQUEIJEIRO;01/01/2019;1;BAIXA
166296150217;ADRIANA BOGADO;07/09/2019;2;MÉDIA
790092270379;CELSO VALENTIM;24/11/2019;2;MÉDIA
448788467123;LARA MOURATO;18/11/2019;2;MÉDIA
556875024213;ARMINDA LEITE;15/12/2019;2;MÉDIA
330176852171;TADEU AIRES;28/12/2019;1;BAIXA
853065036696;EUSÉBIO FREYRE;10/01/2020;2;MÉDIA
738135523208;CARMEM VÁSQUEZ;14/11/2019;2;MÉDIA
671200490676;LURDES CÂMARA;24/01/2020;1;BAIXA
413629754845;CLOTILDE GUEDEZ;21/01/2020;2;MÉDIA
144658684284;ALEXANDRA GUARABIRA;28/01/2020;2;MÉDIA
658926168585;PLÍNIO VALVERDE;12/11/2019;2;MÉDIA

